ID,ParkID
0,ALB01
1,ALT01
2,ANA01
3,ARL01
4,ARL02
5,ARL03
6,ATL01
7,ATL02
8,ATL03
9,BAL01
10,BAL02
11,BAL03
12,BAL04
13,BAL05
14,BAL06
15,BAL07
16,BAL09
17,BAL10
18,BAL11
19,BAL12
20,BOS01
21,BOS02
22,BOS03
23,BOS04
24,BOS05
25,BOS06
26,BOS07
27,BOS08
28,BUF01
29,BUF02
30,BUF03
31,BUF04
32,BUF05
33,CAN01
34,CAN02
35,CHI01
36,CHI02
37,CHI03
38,CHI04
39,CHI05
40,CHI06
41,CHI07
42,CHI08
43,CHI09
44,CHI10
45,CHI11
46,CHI12
47,CIN01
48,CIN02
49,CIN03
50,CIN04
51,CIN05
52,CIN06
53,CIN07
54,CIN08
55,CIN09
56,CLE01
57,CLE02
58,CLE03
59,CLE04
60,CLE05
61,CLE06
62,CLE07
63,CLE08
64,CLE09
65,CLL01
66,COL01
67,COL02
68,COL03
69,COL04
70,COV01
71,DAY01
72,DEN01
73,DEN02
74,DET01
75,DET02
76,DET03
77,DET04
78,DET05
79,DOV01
80,ELM01
81,FOR01
82,FOR02
83,FOR03
84,FTB01
85,GEA01
86,GLO01
87,GLO02
88,GRA01
89,HAR01
90,HON01
91,HOU01
92,HOU02
93,HOU03
94,HRT01
95,HRT02
96,IND01
97,IND02
98,IND03
99,IND04
100,IND05
101,IND06
102,IND07
103,IRO01
104,JER01
105,JER02
106,KAN01
107,KAN02
108,KAN03
109,KAN04
110,KAN05
111,KAN06
112,KEO01
113,LAS01
114,LBV01
115,LOS01
116,LOS02
117,LOS03
118,LOU01
119,LOU02
120,LOU03
121,LOU04
122,LUD01
123,MAS01
124,MIA01
125,MIA02
126,MID01
127,MIL01
128,MIL02
129,MIL03
130,MIL04
131,MIL05
132,MIL06
133,MIN01
134,MIN02
135,MIN03
136,MIN04
137,MNT01
138,MON01
139,MON02
140,NEW01
141,NEW02
142,NEW03
143,NWK01
144,NYC01
145,NYC02
146,NYC03
147,NYC04
148,NYC05
149,NYC06
150,NYC07
151,NYC08
152,NYC09
153,NYC10
154,NYC11
155,NYC12
156,NYC13
157,NYC14
158,NYC15
159,NYC16
160,NYC17
161,NYC18
162,NYC19
163,NYC20
164,NYC21
165,OAK01
166,PEN01
167,PHI01
168,PHI02
169,PHI03
170,PHI04
171,PHI05
172,PHI06
173,PHI07
174,PHI08
175,PHI09
176,PHI10
177,PHI11
178,PHI12
179,PHI13
180,PHI14
181,PHO01
182,PIT01
183,PIT02
184,PIT03
185,PIT04
186,PIT05
187,PIT06
188,PIT07
189,PIT08
190,PRO01
191,PRO02
192,RCK01
193,RIC01
194,RIC02
195,ROC01
196,ROC02
197,ROC03
198,SAI01
199,SAN01
200,SAN02
201,SEA01
202,SEA02
203,SEA03
204,SFO01
205,SFO02
206,SFO03
207,SJU01
208,SPR01
209,STL01
210,STL02
211,STL03
212,STL04
213,STL05
214,STL06
215,STL07
216,STL08
217,STL09
218,STL10
219,STP01
220,SYD01
221,SYR01
222,SYR02
223,SYR03
224,THR01
225,TOK01
226,TOL01
227,TOL02
228,TOL03
229,TOL04
230,TOR01
231,TOR02
232,TRO01
233,TRO02
234,WAR01
235,WAS01
236,WAS02
237,WAS03
238,WAS04
239,WAS05
240,WAS06
241,WAS07
242,WAS08
243,WAS09
244,WAS10
245,WAS11
246,WAT01
247,WAV01
248,WEE01
249,WHE01
250,WIL01
251,WIL02
252,WNY01
253,WOR01
254,WOR02
255,WOR03
