retroID,ID
aardd001,0
aaroh101,1
aarot101,2
aased001,3
abada001,4
abadf001,5
abadj101,6
abbae101,7
abbeb101,8
abbec101,9
abbod101,10
abbof101,11
abbog001,12
abboj002,13
abboj001,14
abbok002,15
abbok001,16
abboo101,17
abbop001,18
abera101,19
aberd101,20
aberr001,21
aberb101,22
aberb001,23
abert102,24
abert101,25
aberw101,26
aberc101,27
ableh101,28
abnes001,29
abrac101,30
abrag101,31
abrej001,32
abreb001,33
abrej101,34
abrej003,35
abrej002,36
abret001,37
abrew001,38
abstb101,39
accaj001,40
aceva001,41
acevj002,42
acevj001,43
achta001,44
ackej001,45
acket101,46
ackld001,47
acklf101,48
acosc101,49
acose101,50
acosj101,51
acosm001,52
acosm101,53
acrem001,54
actam801,55
adaib801,56
adaij101,57
adaij102,58
adamc001,59
adama101,60
adama001,61
adamb104,62
adamb106,63
adamb107,64
adamb102,65
adamb103,66
adamb105,67
adamb101,68
adamd103,69
adamd001,70
adamd102,71
adamd101,72
adamg102,73
adamg101,74
adamh101,75
adamj101,76
adamj102,77
adamj001,78
adamk101,79
adaml001,80
adamm002,81
adamm101,82
adamm102,83
adamm001,84
adamr101,85
adamr102,86
adamr001,87
adamr002,88
adamr003,89
adams101,90
adams102,91
adamt001,92
adamw101,93
adamw001,94
adcoj101,95
adcon001,96
addib101,97
adduj001,98
adduj002,99
addyb101,100
adenn001,101
aderm101,102
adkid103,103
adkid101,104
adkid102,105
adkig101,106
adkih101,107
adkij001,108
adkis001,109
adled101,110
adrie001,111
afent001,112
affej001,113
agbab001,114
ageet101,115
aggah101,116
aglej101,117
agnes101,118
agosj001,119
agual001,120
aguic001,121
aguij001,122
aguir001,123
aguih101,124
aheac101,125
aheap001,126
ahmen001,127
aikew001,128
aingd101,129
ainse101,130
ainsk001,131
aitcr101,132
aitog101,133
ake-j101,134
akerd001,135
akerj102,136
akerb101,137
akerj101,138
albag001,139
albaj001,140
albaj101,141
albea001,142
albeb101,143
albec101,144
albeg101,145
albeh001,146
albej001,147
albem001,148
alboe101,149
albre101,150
albrj101,151
albua001,152
albuv101,153
alcas101,154
alcaa001,155
