GameID,EventID,Comment,,,,,
2578,63,"originally scored E6, changed on 4-18 to single",,,,,
2724,44,fan interference,,,,,
2833,12,Brewers shortstop Alex Gonzalez left the game due to an injured knee,,,,,
2970,31,Giants second baseman Joaquin Arias left the game due to an injured hand,,,,,
3000,66,Cardinals pitcher Kyle McClellan left the game due to an injured elbow,,,,,
3031,49,"$Athletics manager Bob Melvin questioned the ruling of HBP, arguing that it was a foul ball",,,,,
3031,54,"ej,melvb001,M,hoyej901,HBP call $Athletics manager Melvin ejected by HP umpire Hoye for continuing to argue about HBP earlier in inning",,,,,
3329,28,Rangers pitcher Alexi Ogando left the game due to an injured groin,,,,,
3345,35,Astros pitcher Bud Norris left the game due to an injured knee,,,,,
3552,4,Dodgers right fielder Andre Ethier left the game due to an injured side,,,,,
3576,37,"$as Pablo Sandoval slid across the bag, he reached out with his right hand and grabbed SS Zack Cozart's leg; Cozart fell and did not make a throw; Sandoval called for interference",,,,,
3592,36,Reds first baseman Joey Votto left the game due to an injured knee,,,,,
3607,3,Reds third baseman Scott Rolen left the game due to an injured back,,,,,
3725,64,"$catcher Chris Snyder blocked the plate as he was catching the ball; Pablo Sandoval collided with Snyder, who dropped the ball",,,,,
3740,24,Astros shortstop Jed Lowrie left the game due to an injured ankle,,,,,
3740,71,"$Santiago Casilla struck out Chris Snyder to apparently end the game with a win; however, the pitch bounced away from catcher Hector sanchez, allowing Snyder to reach 1B; Sanchez threw wildly to 1B, allowing Justin Maxwell to score from 2B",,,,,
3867,12,$Brandon Crawford's sinking liner was ruled a catch for the third out, Giants manager Bruce Bochy asked about the call as the Padres left the field, the umpires huddled and changed the ruling to a hit, three of the four umpires saw it as not a catch,,
3867,39,$Alexi Amarista injured his thumb sliding into 2B,,,,,
3867,41,Padres second baseman Alexi Amarista left the game due to an injured left thumb,,,,,
3867,53,"ej,crawb001,P,bakej902,Call at 1B (Appeal play) $Brandon Crawford hit an apparent double but was called out on appeal for missing 1B; Crawford ejected by 1B umpire Jordan Baker",,,,,
