ID,Name,City,State
0,Riverside Park,Albany,NY
1,Columbia Park,Altoona,PA
2,Angel Stadium of Anaheim,Anaheim,CA
3,Arlington Stadium,Arlington,TX
4,Rangers Ballpark in Arlington,Arlington,TX
5,Globe Life Field in Arlington,Arlington,TX
6,Atlanta-Fulton County Stadium,Atlanta,GA
7,Turner Field,Atlanta,GA
8,Suntrust Park,Atlanta,GA
9,Madison Avenue Grounds,Baltimore,MD
10,Newington Park,Baltimore,MD
11,Oriole Park I,Baltimore,MD
12,Belair Lot,Baltimore,MD
13,Monumental Park,Baltimore,MD
14,Oriole Park II,Baltimore,MD
15,Oriole Park III,Baltimore,MD
16,Oriole Park IV,Baltimore,MD
17,Terrapin Park,Baltimore,MD
18,Memorial Stadium,Baltimore,MD
19,Oriole Park at Camden Yards,Baltimore,MD
20,South End Grounds I,Boston,MA
21,Dartmouth Grounds,Boston,MA
22,South End Grounds II,Boston,MA
23,Congress Street Grounds,Boston,MA
24,South End Grounds III,Boston,MA
25,Huntington Avenue Baseball Grounds,Boston,MA
26,Fenway Park,Boston,MA
27,Braves Field,Boston,MA
28,Riverside Grounds,Buffalo,NY
29,Olympic Park I,Buffalo,NY
30,Olympic Park II,Buffalo,NY
31,International Fair Association Grounds,Buffalo,NY
32,Sahlen Field,Buffalo,NY
33,Mahaffey Park,Canton,OH
34,Pastime Park,Canton,OH
35,Lake Front Park I,Chicago,IL
36,23rd Street Park,Chicago,IL
37,Lake Front Park II,Chicago,IL
38,Lake Front Park III,Chicago,IL
39,South Side Park I,Chicago,IL
40,West Side Park,Chicago,IL
41,South Side Park II,Chicago,IL
42,West Side Grounds,Chicago,IL
43,South Side Park III,Chicago,IL
44,Comiskey Park I,Chicago,IL
45,Wrigley Field,Chicago,IL
46,Guaranteed Rate Field;U.S. Cellular Field,Chicago,IL
47,Lincoln Park Grounds,Cincinnati,OH
48,Avenue Grounds,Cincinnati,OH
49,Bank Street Grounds,Cincinnati,OH
50,League Park I,Cincinnati,OH
51,League Park II,Cincinnati,OH
52,Palace of the Fans,Cincinnati,OH
53,Crosley Field,Cincinnati,OH
54,Cinergy Field,Cincinnati,OH
55,Great American Ballpark,Cincinnati,OH
56,National Association Grounds,Cleveland,OH
57,League Park I,Cleveland,OH
58,League Park II,Cleveland,OH
59,Brotherhood Park,Cleveland,OH
60,League Park III,Cleveland,OH
61,League Park IV,Cleveland,OH
62,Cleveland Stadium,Cleveland,OH
63,Progressive Field,Cleveland,OH
64,Cedar Avenue Driving Park,Cleveland,OH
65,Euclid Beach Park,Collinwood,OH
66,Recreation Park I,Columbus,OH
67,Recreation Park II,Columbus,OH
68,Neil Park I,Columbus,OH
69,Neil Park II,Columbus,OH
70,Star Baseball Park,Covington,KY
71,Fairview Park,Dayton,OH
72,Mile High Stadium,Denver,CO
73,Coors Field,Denver,CO
74,Recreation Park,Detroit,MI
75,Bennett Park,Detroit,MI
76,Burns Park,Detroit,MI
77,Tiger Stadium,Detroit,MI
78,Comerica Park,Detroit,MI
79,Fairview Park Fair Grounds,Dover,DE
80,Maple Avenue Driving Park,Elmira,NY
81,Grand Duchess,Fort Wayne,IN
82,Swinney Park,Fort Wayne,IN
83,Jailhouse Flats,Fort Wayne,IN
84,Fort Bragg Field,Fort Bragg,NC
85,Geauga Lake Grounds,Geauga Lake,OH
86,Gloucester Point Grounds,Gloucester City,NJ
87,Gloucester Fireworks Park,Gloucester City,NJ
88,Ramona Park,Grand Rapids,MI
89,Harrison Field,Harrison,NJ
90,Aloha Stadium,Honolulu,HI
91,Colt Stadium,Houston,TX
92,Astrodome,Houston,TX
93,Minute Maid Park,Houston,TX
94,Hartford Ball Club Grounds,Hartford,CT
95,Hartford Trotting Park,Hartford,CT
96,South Street Park,Indianapolis,IN
97,Seventh Street Park I,Indianapolis,IN
98,Bruce Grounds,Indianapolis,IN
99,Seventh Street Park II,Indianapolis,IN
100,Seventh Street Park III,Indianapolis,IN
101,Indianapolis Park,Indianapolis,IN
102,Federal League Park,Indianapolis,IN
103,Windsor Beach,Irondequoit,NY
104,Oakdale Park,Jersey City,NJ
105,Roosevelt Stadium,Jersey City,NJ
106,Athletic Park,Kansas City,MO
107,Association Park,Kansas City,MO
108,Exposition Park,Kansas City,MO
109,Gordon and Koppel Field,Kansas City,MO
110,Municipal Stadium,Kansas City,MO
