ID,FirstName,LastName,GivenName,BirthCity,BirthState,BirthCountry,BirthDate,Bats,Throws,Weight,Height,Debut
0,David,Aardsma,David Allan,Denver,CO,USA,1981-12-27,R,R,220.0,75.0,2004-04-06
1,Hank,Aaron,Henry Louis,Mobile,AL,USA,1934-02-05,R,R,180.0,72.0,1954-04-13
2,Tommie,Aaron,Tommie Lee,Mobile,AL,USA,1939-08-05,R,R,190.0,75.0,1962-04-10
3,Don,Aase,Donald William,Orange,CA,USA,1954-09-08,R,R,190.0,75.0,1977-07-26
4,Andy,Abad,Fausto Andres,Palm Beach,FL,USA,1972-08-25,L,L,184.0,73.0,2001-09-10
5,Fernando,Abad,Fernando Antonio,La Romana,La Romana,D.R.,1985-12-17,L,L,220.0,73.0,2010-07-28
6,John,Abadie,John W.,Philadelphia,PA,USA,1854-11-04,R,R,192.0,72.0,1875-04-26
7,Ed,Abbaticchio,Edward James,Latrobe,PA,USA,1877-04-15,R,R,170.0,71.0,1897-09-04
8,Bert,Abbey,Bert Wood,Essex,VT,USA,1869-11-11,R,R,175.0,71.0,1892-06-14
9,Charlie,Abbey,Charles S.,Falls City,NE,USA,1866-10-14,L,L,169.0,68.0,1893-08-16
10,Dan,Abbott,Leander Franklin,Portage,OH,USA,1862-03-16,R,R,190.0,71.0,1890-04-19
11,Fred,Abbott,Harry Frederick,Versailles,OH,USA,1874-10-22,R,R,180.0,70.0,1903-04-25
12,Glenn,Abbott,William Glenn,Little Rock,AR,USA,1951-02-16,R,R,200.0,78.0,1973-07-29
13,Jeff,Abbott,Jeffrey William,Atlanta,GA,USA,1972-08-17,R,L,190.0,74.0,1997-06-10
14,Jim,Abbott,James Anthony,Flint,MI,USA,1967-09-19,L,L,200.0,75.0,1989-04-08
15,Kurt,Abbott,Kurt Thomas,Zanesville,OH,USA,1969-06-02,R,R,180.0,71.0,1993-09-07
16,Kyle,Abbott,Lawrence Kyle,Newburyport,MA,USA,1968-02-18,L,L,200.0,76.0,1991-09-10
17,Ody,Abbott,Ody Cleon,New Eagle,PA,USA,1888-09-05,R,R,180.0,74.0,1910-09-10
18,Paul,Abbott,Paul David,Van Nuys,CA,USA,1967-09-15,R,R,185.0,75.0,1990-08-21
19,Al,Aber,Albert Julius,Cleveland,OH,USA,1927-07-31,L,L,195.0,74.0,1950-09-15
20,Frank,Abercrombie,Francis Patterson,Fort Towson,OK,USA,1850-01-02,,,,,1871-10-21
21,Reggie,Abercrombie,Reginald Damascus,Columbus,GA,USA,1980-07-15,R,R,215.0,75.0,2006-04-04
22,Bill,Abernathie,William Edward,Torrance,CA,USA,1929-01-30,R,R,190.0,70.0,1952-09-27
23,Brent,Abernathy,Michael Brent,Atlanta,GA,USA,1977-09-23,R,R,185.0,73.0,2001-06-25
24,Ted,Abernathy,Talmadge Lafayette,Bynum,NC,USA,1921-10-30,R,L,210.0,74.0,1942-09-19
25,Ted,Abernathy,Theodore Wade,Stanley,NC,USA,1933-03-06,R,R,215.0,76.0,1955-04-13
26,Woody,Abernathy,Virgil Woodrow,Forest City,NC,USA,1915-02-01,L,L,170.0,72.0,1946-07-28
27,Cliff,Aberson,Clifford Alexander,Chicago,IL,USA,1921-08-28,R,R,200.0,72.0,1947-07-18
28,Harry,Ables,Harry Terrell,Terrell,TX,USA,1883-10-04,R,L,200.0,74.0,1905-09-04
29,Shawn,Abner,Shawn Wesley,Hamilton,OH,USA,1966-06-17,R,R,190.0,73.0,1987-09-08
30,Cal,Abrams,Calvin Ross,Philadelphia,PA,USA,1924-03-02,L,L,185.0,72.0,1949-04-19
31,George,Abrams,George Allen,Seattle,WA,USA,1899-11-09,R,R,170.0,69.0,1923-04-19
32,Johnny,Abrego,Johnny Ray,Corpus Christi,TX,USA,1962-07-04,R,R,185.0,72.0,1985-09-04
